1765929632.5798984,7.64,4.67,9.46,2.37,3.0
1765929662.9662259,7.64,45.81,9.46,2.37,5.03
1765929693.3677456,7.64,78.05,9.46,2.37,14.19
1765929723.8193915,7.64,111.98,9.46,2.37,18.6
1765929754.1892464,7.64,131.49,9.46,2.37,19.88
1765929784.6171446,7.64,131.49,18.17,4.98,24.38
1765929815.0096028,7.64,131.49,29.87,7.0,24.38
1765929846.0256643,7.64,131.49,40.91,9.46,27.28
1765929876.430665,7.64,131.49,40.91,9.46,27.28
1765929907.4629178,7.64,137.86,40.91,9.46,33.06
1765929937.8480294,7.64,158.64,40.91,9.46,42.53
1765929968.3027594,7.64,177.3,40.91,9.46,50.95
1765929998.7316854,7.64,213.36,40.91,9.46,60.62
1765930030.074091,7.64,242.62,40.91,9.46,65.27
1765930060.465695,24.6,242.62,45.46,13.01,67.53
1765930090.8527396,46.66,242.62,50.17,13.01,67.53
1765930121.2673285,70.41,242.62,57.38,13.01,67.53
1765930151.6984158,93.32,242.62,61.07,13.01,67.53
1765930187.1229172,121.74,242.62,65.72,13.01,67.53
1765930223.8823366,121.74,284.19,65.72,14.61,72.21
1765930254.527416,121.74,320.25,65.72,14.61,76.74
1765930284.9789522,121.74,353.75,65.72,14.61,82.12
1765930315.3678865,121.74,384.72,65.72,14.61,87.48
1765930345.7983913,121.74,395.32,65.72,14.61,88.76
1765930376.2495184,121.74,395.32,65.72,14.61,88.76
1765930407.3926132,121.74,395.32,65.72,14.61,88.76
1765930438.5673132,121.74,427.14,65.72,14.61,91.43
1765930469.0466716,121.74,455.55,65.72,14.61,97.02
1765930499.4411387,121.74,489.49,65.72,14.61,101.07
1765930529.9095607,121.74,523.42,65.72,14.61,111.1
1765930560.2058568,132.34,525.97,73.63,17.25,115.5
1765930590.6639748,132.34,550.99,73.63,19.82,119.64
1765930621.7891273,132.34,580.69,73.63,19.82,121.59
1765930652.8769925,132.34,598.08,73.63,19.82,138.95
1765930683.3601053,132.34,628.62,73.63,19.82,141.49
1765930713.7132893,132.34,651.95,73.63,19.82,144.13
1765930744.1103718,132.34,651.95,77.1,23.4,148.5
1765930776.1962552,135.31,651.95,85.38,23.4,148.5
1765930806.605592,159.06,651.95,85.38,23.4,148.5
1765930839.3589833,168.4,652.38,89.91,27.84,148.5
1765930873.0668437,168.4,673.59,89.91,27.84,154.4
1765930908.1462257,168.4,697.34,89.91,27.84,161.45
1765930940.990668,168.4,725.34,89.91,27.84,166.03
1765930974.0601103,168.4,756.73,89.91,27.84,174.41
1765931004.4624376,168.4,788.54,89.91,27.84,178.44
1765931034.808226,168.4,822.05,89.91,27.84,184.3
1765931066.2279546,168.4,847.51,89.91,27.84,192.67
1765931126.7484086,168.4,905.2,89.91,27.84,204.54
1765931157.0965576,168.4,916.23,89.91,27.84,212.42
1765931187.5889587,168.4,917.5,89.91,27.84,216.4
1765931217.9232118,171.36,917.5,92.27,31.25,224.97
1765931248.357123,194.69,917.5,95.21,31.25,224.97
1765931278.9959438,218.87,917.5,98.45,31.25,224.97
1765931309.538767,227.78,917.5,105.48,31.25,224.97
1765931339.9613283,255.35,917.5,105.48,31.25,224.97
1765931370.2948658,271.47,917.5,107.91,31.25,224.97
1765931400.7323916,295.22,917.5,111.04,31.25,224.97
1765931431.7711804,316.0,917.5,112.77,31.25,224.97
1765931462.1971374,343.15,917.5,115.33,31.25,224.97
1765931492.6007507,350.79,934.04,118.38,34.48,229.73
1765931523.284716,350.79,963.31,118.38,34.48,232.45
1765931560.1052747,350.79,972.22,122.98,40.96,238.13
1765931590.5760665,350.79,993.85,122.98,42.55,243.18
1765931621.0180647,350.79,1015.49,122.98,42.55,248.09
1765931659.8012202,350.79,1022.27,122.98,42.55,250.68
1765931690.4485033,350.79,1022.27,122.98,42.55,250.68
1765931721.1817973,350.79,1035.0,122.98,42.55,258.92
1765931751.7885833,350.79,1054.09,122.98,42.55,267.63
1765931782.4361753,350.79,1081.24,122.98,42.55,270.9
1765931814.1088238,350.79,1107.54,122.98,42.55,277.85
1765931844.837714,368.18,1107.54,128.84,46.72,277.85
1765931875.2541065,391.93,1107.54,130.03,46.72,277.85
1765931905.7196736,413.14,1107.54,131.35,46.72,277.85
1765931936.130554,413.14,1107.54,139.35,46.72,277.85
1765931966.8901956,413.14,1107.54,140.49,46.72,277.85
1765931997.5110495,413.14,1107.54,141.62,46.72,277.85
1765932027.960642,413.14,1107.54,143.65,46.72,277.85
1765932061.7873905,419.08,1107.54,151.01,46.72,277.85
1765932094.7296965,419.08,1134.69,151.01,49.36,286.7
1765932125.1773207,419.08,1169.04,151.01,49.36,286.7
1765932155.6425076,419.08,1199.59,151.01,49.36,289.84
1765932188.333809,419.08,1224.19,151.01,49.36,296.52
1765932218.625032,424.17,1224.19,155.34,52.83,296.52
1765932249.0596194,449.62,1224.19,158.04,52.83,296.52
1765932281.1285043,474.22,1224.19,159.17,52.83,296.52
1765932311.9844115,494.58,1224.19,161.06,52.83,296.52
1765932342.426374,505.18,1237.34,165.95,55.4,300.71
1765932372.8475795,505.18,1265.76,165.95,55.4,306.02
1765932403.2538533,505.18,1285.27,165.95,55.4,310.75
1765932433.649089,505.18,1296.73,165.95,55.4,318.13
1765932464.0715659,505.18,1326.0,165.95,55.4,318.13
1765932494.4718316,505.18,1355.69,165.95,55.4,321.28
1765932524.8712137,505.18,1383.69,165.95,55.4,327.0
1765932555.3084326,505.18,1398.53,165.95,55.4,332.7
1765932585.7133482,505.18,1423.56,165.95,55.4,335.25
1765932616.1330779,505.18,1447.32,165.95,55.4,338.71
1765932646.5551472,505.18,1471.92,165.95,55.4,343.96
1765932676.9332008,505.18,1494.83,165.95,55.4,347.26
1765932707.9508364,505.18,1520.7,165.95,55.4,353.63
1765932738.397786,505.18,1540.64,165.95,55.4,357.43
1765932768.7780488,505.18,1550.82,165.95,55.4,362.3
1765932799.1785803,505.18,1550.82,165.95,55.4,362.3
1765932829.4917355,505.18,1561.0,165.95,55.4,367.49
1765932860.0716395,505.18,1584.76,165.95,55.4,372.19
1765932890.918655,505.18,1584.76,165.95,60.79,376.33
1765932921.4822102,512.82,1584.76,169.76,65.23,376.33
1765932951.8438675,535.3,1584.76,170.95,65.23,376.33
1765932982.261709,561.17,1584.76,174.14,65.23,376.33
1765933012.667648,589.17,1584.76,174.14,65.23,376.33
1765933049.2613184,607.84,1584.76,176.98,65.23,376.33
1765933079.6221242,625.65,1584.76,181.43,65.23,376.33
